time,symbol,tradeSize,tradePrice
13:18:08,STOCK_4154,1.0,43.3
13:18:08,STOCK_4154,-1.0,43.3
13:19:03,STOCK_5226,1.0,76.95
13:19:04,STOCK_5226,1.0,77.65
13:19:06,STOCK_5226,-1.0,74.7
13:19:07,STOCK_5226,1.0,74.35
13:19:09,STOCK_5226,-1.0,75.7
13:19:09,STOCK_5226,1.0,76.0
13:19:10,STOCK_3896,4.0,10.05
13:19:11,STOCK_5226,-1.0,79.9
13:19:14,STOCK_5226,-1.0,87.4
13:19:14,STOCK_5226,1.0,84.65
13:19:17,STOCK_5226,1.0,79.9
13:19:17,STOCK_5226,-1.0,82.65
13:19:17,STOCK_5226,1.0,80.85
13:20:23,STOCK_4548,4.0,38.1
13:21:13,STOCK_5226,-1.0,81.1
13:21:14,STOCK_5226,1.0,81.15
13:21:16,STOCK_5226,1.0,83.9
13:21:16,STOCK_5226,1.0,84.45
13:21:18,STOCK_5226,1.0,84.05
13:21:19,STOCK_5226,1.0,83.9
13:21:55,STOCK_3896,-4.0,9.55
13:22:07,STOCK_3896,1.0,9.55
13:22:07,STOCK_3896,1.0,9.55
13:22:07,STOCK_3896,2.0,9.55
13:22:09,STOCK_5050,4.0,21.4
13:22:10,STOCK_5050,4.0,21.35
13:22:13,STOCK_5050,-1.0,21.15
13:22:13,STOCK_5050,1.0,21.15
13:22:13,STOCK_5050,2.0,21.15
13:22:15,STOCK_3896,4.0,9.05
13:22:23,STOCK_3896,2.0,8.5
13:22:23,STOCK_3896,4.0,8.55
13:22:23,STOCK_3896,-2.0,8.5
13:22:36,STOCK_4154,2.0,34.75
13:22:36,STOCK_4154,-2.0,34.7
13:22:43,STOCK_4154,-1.0,33.3
13:22:43,STOCK_4154,-1.0,33.3
13:22:43,STOCK_4154,-2.0,33.3
13:22:43,STOCK_4154,4.0,33.2
13:22:46,STOCK_4154,-4.0,32.75
13:23:53,STOCK_4154,-1.0,28.65
13:23:53,STOCK_4154,-3.0,28.7
13:23:54,STOCK_3896,4.0,7.55
13:23:56,STOCK_4154,-2.0,28.05
13:23:56,STOCK_4154,2.0,28.1
13:24:01,STOCK_5226,-1.0,98.55
13:24:02,STOCK_5226,1.0,97.7
13:24:09,STOCK_3979,1.0,409.75
13:25:58,STOCK_4890,4.0,10.05
13:26:06,STOCK_3979,1.0,417.5
13:26:15,STOCK_3979,1.0,425.0
13:26:26,STOCK_3979,-1.0,427.15
13:28:41,STOCK_4487,-3.0,22.35
13:28:41,STOCK_4487,-1.0,22.3
13:30:02,STOCK_3979,1.0,395.75
13:31:39,STOCK_3979,-1.0,376.9
13:32:18,STOCK_3979,-1.0,379.75
13:32:25,STOCK_3979,1.0,382.95
13:33:57,STOCK_6061,1.0,1.5
13:34:06,STOCK_6061,1.0,1.5
13:34:07,STOCK_6061,-1.0,1.5
13:34:08,STOCK_6061,-1.0,1.5
13:36:19,STOCK_4154,-4.0,30.35
13:36:23,STOCK_4154,-3.0,30.3
13:36:23,STOCK_4154,-1.0,30.25
13:36:41,STOCK_3896,1.0,7.05
13:36:41,STOCK_3896,-1.0,7.05
13:36:41,STOCK_3896,-1.0,7.05
13:36:41,STOCK_3896,-1.0,7.05
13:36:46,STOCK_4890,4.0,10.05
13:36:59,STOCK_4154,2.0,29.25
13:36:59,STOCK_4154,1.0,29.3
13:36:59,STOCK_4154,-1.0,29.3
13:37:12,STOCK_4890,-4.0,10.05
13:37:16,STOCK_4890,1.0,9.55
13:37:16,STOCK_4890,-1.0,9.55
13:37:16,STOCK_4890,-1.0,9.55
13:37:16,STOCK_4890,1.0,9.55
13:37:44,STOCK_6061,-2.0,1.5
13:37:44,STOCK_6061,-2.0,1.5
13:37:59,STOCK_6061,2.0,1.45
13:37:59,STOCK_6061,2.0,1.45
13:38:04,STOCK_6061,4.0,1.4
13:38:06,STOCK_4890,-4.0,9.55
13:38:28,STOCK_3660,-1.0,1.5
13:38:28,STOCK_3660,-1.0,1.5
13:38:28,STOCK_3660,-2.0,1.5
13:38:29,STOCK_4890,-4.0,9.05
13:38:33,STOCK_4154,-2.0,26.2
13:38:33,STOCK_4154,-2.0,26.15
13:38:38,STOCK_4890,4.0,8.55
13:38:45,STOCK_4890,2.0,8.05
13:38:45,STOCK_4890,2.0,8.05
13:38:47,STOCK_6061,4.0,1.35
13:38:51,STOCK_4154,1.0,22.05
13:38:51,STOCK_4154,3.0,22.0
13:38:55,STOCK_4890,-4.0,7.55
13:38:55,STOCK_4154,3.0,21.45
13:38:55,STOCK_4154,1.0,21.5
13:38:57,STOCK_4154,3.0,21.05
13:38:57,STOCK_4154,-1.0,21.05
13:39:00,STOCK_4154,-1.0,20.85
13:39:00,STOCK_4154,1.0,20.85
