time,symbol,price
09:19:00,STOCK_4441,499.5750000000001
09:19:00,STOCK_4989,410.175
09:19:00,STOCK_3415,326.0
09:19:00,STOCK_3979,247.375
09:19:00,STOCK_3824,181.325
09:19:00,STOCK_5628,125.9
09:19:00,STOCK_3561,83.75
09:19:00,STOCK_5226,53.6
09:19:00,STOCK_4548,33.675
09:19:00,STOCK_4487,20.6
09:19:00,STOCK_5904,12.9
09:19:00,STOCK_5498,8.425
09:19:00,STOCK_3245,5.925000000000001
09:19:00,STOCK_4771,4.425000000000001
09:19:00,STOCK_4583,3.025
09:19:00,STOCK_4073,2.575
09:19:00,STOCK_5151,2.2
09:19:00,STOCK_4137,2.025
09:19:00,STOCK_4935,1.875
09:19:00,STOCK_4731,1.7
09:19:00,STOCK_4146,1.625
09:19:00,STOCK_3401,1.475
09:19:00,STOCK_3682,1.475
09:19:00,STOCK_6061,2.775
09:19:00,STOCK_4239,3.075
09:19:00,STOCK_6078,3.375
09:19:00,STOCK_4518,3.625
09:19:00,STOCK_3213,3.925
09:19:00,STOCK_3660,4.225
09:19:00,STOCK_5375,4.675000000000001
09:19:00,STOCK_3666,5.175000000000001
09:19:00,STOCK_4427,5.775
09:19:00,STOCK_4381,6.375
09:19:00,STOCK_3683,7.175000000000001
09:19:00,STOCK_3887,8.125
09:19:00,STOCK_4917,9.45
09:19:00,STOCK_5265,11.375
09:19:00,STOCK_4310,14.2
09:19:00,STOCK_3130,18.15
09:19:00,STOCK_3584,23.2
09:19:00,STOCK_5150,30.125
09:19:00,STOCK_3228,40.475
09:19:00,STOCK_3896,56.2
09:19:00,STOCK_4890,78.375
09:19:00,STOCK_5050,111.775
09:19:00,STOCK_4154,156.45
09:19:00,STOCK_4949,214.175
09:19:00,STOCK_4783,283.85
09:19:00,STOCK_3870,364.375
09:19:00,STOCK_3177,451.0
09:19:00,STOCK_3439,543.4000000000001
09:19:00,STOCK_5282,638.75
09:19:00,STOCK_5440,736.075
09:19:00,STOCK_4144,834.5
09:19:00,STOCK_4781,933.35
09:19:00,STOCK_3954,1032.4
09:19:00,STOCK_4060,1132.475
09:19:00,STOCK_4993,1232.275
09:19:00,STOCK_4450,1332.0
09:19:00,STOCK_3138,1434.025
09:19:00,STOCK_5651,1546.675
09:19:00,STOCK_5998,1644.925
09:19:00,STOCK_4198,1739.6
09:20:00,STOCK_5559,2162.975
